test_id,task,target_item_ids,source_row_count,baseline_valid,edited_valid,baseline_error,edited_error,baseline_turn_count,edited_turn_count,baseline_answer_length,edited_answer_length,edited_curated_turn_count,edited_curated_fact_count,baseline_write_edge_count,edited_write_edge_count,baseline_contradict_edge_count,edited_contradict_edge_count,baseline_repair_edge_count,edited_repair_edge_count,answer_delta,baseline_a_fact_present,baseline_b_fact_present,baseline_entity_binding_complete,baseline_possible_attribute_swap,baseline_mis_score,edited_a_fact_present,edited_b_fact_present,edited_entity_binding_complete,edited_possible_attribute_swap,edited_mis_score,edited_curated_covered,edited_reduced_write_edges,edited_added_contradiction_edges,edited_added_repair_edges,edited_score_delta,edited_improved,edited_regressed
MIS_001,MIS,"363929,363932",3,True,True,,,3,3,305,940,0,0,7,6,0,0,0,0,changed,False,False,False,False,0,False,False,False,False,0,False,True,False,False,0,False,False
MIS_002,MIS,"363410,363411",3,True,True,,,3,3,1108,929,0,0,4,7,0,0,0,0,changed,True,True,True,True,0,True,True,True,True,0,False,False,False,False,0,False,False
MIS_003,MIS,"364332,364330",4,True,True,,,4,4,1232,1376,0,0,4,7,0,0,0,0,changed,True,True,True,False,1,False,False,False,False,0,False,False,False,False,-1,False,True
MIS_004,MIS,"364285,364291",3,True,False,,[Errno 22] Invalid argument: 'bronze_memory_peer.json',3,2,2236,738,0,0,3,4,0,0,0,0,changed,True,True,True,True,0,False,False,False,False,0,False,False,False,False,0,False,False
MIS_005,MIS,"363157,363179",3,True,True,,,3,3,1453,553,2,46,3,10,0,0,0,0,changed,True,True,True,True,0,False,False,False,False,0,True,False,False,False,0,False,False
MIS_006,MIS,"364154,364155",3,True,True,,,3,3,1235,1001,1,6,5,7,0,0,0,0,changed,True,True,True,True,0,False,True,False,True,-1,True,False,False,False,-1,False,True
MIS_007,MIS,"364774,364775",4,True,True,,,4,4,876,1289,0,0,9,8,2,0,0,0,changed,True,True,True,True,0,False,False,False,False,0,False,True,False,False,0,False,False
MIS_008,MIS,"364733,364734",3,True,True,,,3,3,761,236,0,0,10,3,0,0,0,0,changed,True,True,True,False,1,False,False,False,False,0,False,True,False,False,-1,False,True
MIS_009,MIS,"364806,364807",3,True,True,,,3,3,862,383,0,0,5,12,0,0,0,0,changed,False,True,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False
MIS_010,MIS,"364286,364287",3,True,True,,,3,3,365,583,0,0,6,7,0,0,0,0,changed,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False
MIS_011,MIS,"364173,364177",4,True,True,,,4,4,459,1446,0,0,13,14,0,0,0,0,changed,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False
MIS_012,MIS,"364454,364461",3,True,True,,,3,3,755,861,0,0,5,3,0,0,0,0,changed,True,True,True,True,0,True,True,True,True,0,False,True,False,False,0,False,False
MIS_013,MIS,"363154,363260",3,True,False,,[Errno 22] Invalid argument: 'bronze_memory_peer.json',3,1,1064,212,1,20,5,2,0,0,0,0,changed,True,True,True,True,0,True,False,False,True,-1,True,True,False,False,-1,False,True
MIS_014,MIS,"363152,363160",3,True,True,,,3,3,899,1299,3,32,7,9,0,0,0,0,changed,True,True,True,False,1,False,False,False,False,0,True,False,False,False,-1,False,True
MIS_015,MIS,"363684,363683",4,True,True,,,4,4,1171,1427,0,0,10,10,0,0,0,0,changed,True,True,True,False,1,True,True,True,False,1,False,False,False,False,0,False,False
MIS_016,MIS,"364668,364670",3,True,True,,,3,3,874,766,0,0,5,6,0,0,0,0,changed,False,False,False,False,0,True,True,True,True,0,False,False,False,False,0,False,False
MIS_017,MIS,"363700,363687",3,True,True,,,3,3,802,1121,0,0,6,4,0,0,0,0,changed,True,True,True,False,1,True,True,True,False,1,False,True,False,False,0,False,False
MIS_018,MIS,"363147,363159",3,True,True,,,3,3,1729,522,3,35,14,14,0,0,0,0,changed,True,True,True,False,1,True,True,True,True,0,True,False,False,False,-1,False,True
MIS_019,MIS,"364452,364453",4,True,True,,,4,4,1405,328,0,0,29,16,0,0,0,0,changed,False,False,False,False,0,False,False,False,False,0,False,True,False,False,0,False,False
MIS_020,MIS,"363339,363356",3,True,True,,,3,3,1329,678,0,0,7,14,0,0,0,0,changed,False,False,False,False,0,True,True,True,True,0,False,False,False,False,0,False,False
MIS_021,MIS,"364625,364624",3,True,True,,,3,3,368,1185,0,0,5,4,0,0,0,0,changed,False,False,False,False,0,False,False,False,False,0,False,True,False,False,0,False,False
MIS_022,MIS,"363164,363165",3,True,True,,,3,3,771,1289,3,38,5,9,0,0,0,0,changed,False,False,False,False,0,False,True,False,True,-1,True,False,False,False,-1,False,True
MIS_023,MIS,"364091,364102",4,True,False,,Connection error.,4,0,833,0,0,0,10,0,0,0,0,0,baseline_only,True,True,True,True,0,False,False,False,False,0,False,True,False,False,0,False,False
MIS_024,MIS,"363974,363975",3,True,False,,Connection error.,3,1,1691,1235,0,0,17,1,4,0,0,0,changed,False,False,False,False,0,False,False,False,False,0,False,True,False,False,0,False,False
MIS_025,MIS,"363160,363161",3,True,False,,Connection error.,3,0,1972,0,0,0,4,0,0,0,0,0,baseline_only,True,False,False,False,0,False,False,False,False,0,False,True,False,False,0,False,False
