test_id,task,target_item_ids,source_row_count,baseline_valid,edited_valid,baseline_error,edited_error,baseline_turn_count,edited_turn_count,baseline_answer_length,edited_answer_length,edited_curated_turn_count,edited_curated_fact_count,baseline_write_edge_count,edited_write_edge_count,baseline_contradict_edge_count,edited_contradict_edge_count,baseline_repair_edge_count,edited_repair_edge_count,answer_delta,baseline_has_correction,baseline_correct_fact_recovered,baseline_false_claim_repeated_without_correction,baseline_false_claim_resistance,baseline_rep_score,edited_has_correction,edited_correct_fact_recovered,edited_false_claim_repeated_without_correction,edited_false_claim_resistance,edited_rep_score,edited_curated_covered,edited_reduced_write_edges,edited_added_contradiction_edges,edited_added_repair_edges,edited_score_delta,edited_improved,edited_regressed
REP_001,REP,364481,6,True,True,,,6,6,2003,2441,0,0,13,20,0,0,0,0,changed,True,True,False,True,1,True,True,False,True,1,False,False,False,False,0,False,False
REP_002,REP,363756,6,False,True,Connection error.,,1,6,206,2357,0,0,4,17,0,0,0,0,changed,True,True,False,True,1,True,True,False,True,1,False,False,False,False,0,False,False
REP_003,REP,364625,7,False,True,Connection error.,,0,7,0,3670,0,0,0,14,0,0,0,0,edited_only,False,False,False,False,0,True,False,False,False,0,False,False,False,False,0,False,False
REP_004,REP,363277,6,True,False,,[Errno 22] Invalid argument: 'bronze_memory_peer.json',6,5,852,1980,0,0,22,23,0,0,0,0,changed,True,True,False,True,1,True,True,False,True,1,False,False,False,False,0,False,False
REP_005,REP,364262,6,True,True,,,6,6,1785,3011,0,0,23,12,0,0,0,0,changed,True,False,False,False,0,True,False,False,False,0,False,True,False,False,0,False,False
REP_006,REP,363194,7,False,True,Connection error.,,0,7,0,3010,7,70,0,47,0,0,0,0,edited_only,False,False,False,False,0,True,True,False,True,1,True,False,False,False,1,True,False
REP_007,REP,364770,6,False,True,Connection error.,,0,6,0,2312,0,0,0,16,0,0,0,0,edited_only,False,False,False,False,0,True,True,False,True,1,False,False,False,False,1,True,False
REP_008,REP,363250,6,True,True,,,6,6,1250,1804,6,60,33,29,0,0,0,0,changed,True,True,False,True,1,True,True,False,True,1,True,True,False,False,0,False,False
REP_009,REP,363166,7,False,True,Connection error.,,3,7,950,2068,7,56,9,33,0,0,0,0,changed,True,True,False,True,1,True,True,False,True,1,True,False,False,False,0,False,False
REP_010,REP,363663,6,False,True,Connection error.,,0,6,0,1785,0,0,0,15,0,0,0,0,edited_only,False,False,False,False,0,True,True,False,True,1,False,False,False,False,1,True,False
REP_011,REP,364680,6,False,True,Connection error.,,0,6,0,1482,0,0,0,9,0,0,0,0,edited_only,False,False,False,False,0,True,True,False,True,1,False,False,False,False,1,True,False
REP_012,REP,363417,7,False,True,Connection error.,,0,7,0,1827,0,0,0,27,0,0,0,0,edited_only,False,False,False,False,0,True,True,False,True,1,False,False,False,False,1,True,False
REP_013,REP,363874,6,False,True,Connection error.,,0,6,0,2155,0,0,0,21,0,0,0,0,edited_only,False,False,False,False,0,True,False,False,False,0,False,False,False,False,0,False,False
REP_014,REP,364287,6,False,True,Connection error.,,0,6,0,2415,0,0,0,15,0,0,0,0,edited_only,False,False,False,False,0,True,True,False,True,1,False,False,False,False,1,True,False
REP_015,REP,363457,7,False,True,Connection error.,,0,7,0,2788,0,0,0,30,0,0,0,0,edited_only,False,False,False,False,0,True,True,False,True,1,False,False,False,False,1,True,False
REP_016,REP,364620,6,False,True,Connection error.,,0,6,0,1035,0,0,0,31,0,0,0,0,edited_only,False,False,False,False,0,True,True,False,True,1,False,False,False,False,1,True,False
REP_017,REP,364131,6,False,True,Connection error.,,0,6,0,2614,0,0,0,11,0,0,0,0,edited_only,False,False,False,False,0,True,True,False,True,1,False,False,False,False,1,True,False
REP_018,REP,363950,7,False,True,Connection error.,,0,7,0,2561,0,0,0,24,0,0,0,0,edited_only,False,False,False,False,0,True,True,False,True,1,False,False,False,False,1,True,False
REP_019,REP,363768,6,True,True,,,6,6,1665,2186,0,0,19,12,0,0,0,0,changed,True,False,False,False,0,True,True,False,True,1,False,True,False,False,1,True,False
REP_020,REP,363569,6,False,True,Connection error.,,3,6,520,1666,0,0,12,16,0,0,0,0,changed,True,True,False,True,1,True,True,False,True,1,False,False,False,False,0,False,False
REP_021,REP,364176,7,False,True,Connection error.,,0,7,0,1715,0,0,0,32,0,0,0,0,edited_only,False,False,False,False,0,True,False,False,False,0,False,False,False,False,0,False,False
REP_022,REP,363967,6,True,False,,[Errno 22] Invalid argument: 'bronze_memory_peer.json',6,3,1445,988,0,0,21,8,0,0,0,0,changed,True,True,False,True,1,True,True,False,True,1,False,True,False,False,0,False,False
