test_id,test_category,difficulty,hallucination_risk,assertion_pass_rate,retrieved_memory_count,used_memory_count,retrieval_log_count,usage_log_count,graph_edge_count,verifier_log_count,elapsed_seconds,error
NOE_001,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,40.024,
NOE_002,no_evidence_question,3,?,0.6666666666666666,8,0,1,0,9,0,38.047,
NOE_003,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,41.813,
NOE_004,no_evidence_question,3,?,0.0,8,0,1,0,9,0,37.306,
NOE_005,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,47.811,
NOE_006,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,59.294,
NOE_007,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,38.448,
NOE_008,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,37.287,
NOE_009,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,35.564,
NOE_010,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,31.342,
NOE_011,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,40.33,
NOE_012,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,32.323,
NOE_013,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,31.94,
NOE_014,no_evidence_question,3,?,0.6666666666666666,8,0,1,0,9,0,32.234,
NOE_015,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,30.737,
NOE_016,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,38.92,
NOE_017,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,46.077,
NOE_018,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,42.677,
NOE_019,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,41.759,
NOE_020,no_evidence_question,3,?,0.0,8,2,1,1,14,1,52.331,
NOE_021,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,35.082,
NOE_022,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,24.177,
NOE_023,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,37.028,
NOE_024,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,32.161,
NOE_025,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,27.458,
NOE_026,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,28.33,
NOE_027,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,22.541,
NOE_028,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,22.845,
NOE_029,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,33.434,
NOE_030,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,10,0,28.698,
NOE_031,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,27.562,
NOE_032,no_evidence_question,3,?,0.3333333333333333,8,2,1,1,16,1,32.663,
NOE_033,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,26.928,
NOE_034,no_evidence_question,3,?,0.0,8,0,1,0,9,0,24.934,
NOE_035,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,36.511,
NOE_036,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,25.384,
NOE_037,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,41.029,
NOE_038,no_evidence_question,3,?,0.6666666666666666,8,0,1,0,9,0,39.066,
NOE_039,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,37.641,
NOE_040,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,53.85,
NOE_041,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,46.773,
NOE_042,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,44.597,
NOE_043,no_evidence_question,3,?,0.3333333333333333,8,8,1,1,20,1,35.417,
NOE_044,no_evidence_question,3,?,0.0,8,0,1,0,9,0,35.286,
NOE_045,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,35.129,
NOE_046,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,32.547,
NOE_047,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,33.048,
NOE_048,no_evidence_question,3,?,0.3333333333333333,8,2,1,1,16,1,38.181,
NOE_049,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,36.811,
NOE_049,no_evidence_question,3,?,0.0,8,8,1,1,28,1,62.366,
NOE_050,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,30.064,
NOE_050,no_evidence_question,3,?,0.0,8,8,1,1,24,1,42.15,
NOE_051,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,32.611,
NOE_051,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,41.69,
NOE_052,no_evidence_question,3,?,0.0,8,0,1,0,8,0,22.736,OpenAI API call timed out. This could be due to congestion or too small a timeout value. The timeout can be specified by setting the 'timeout' value (in seconds) in the llm_config (if you are using agents) or the OpenAIWrapper constructor (if you are using the OpenAIWrapper directly).
NOE_052,no_evidence_question,3,?,0.0,8,0,1,0,8,0,22.695,Connection error.
NOE_053,no_evidence_question,3,?,0.0,8,0,1,0,8,0,22.792,Connection error.
NOE_053,no_evidence_question,3,?,0.0,8,0,1,0,8,0,22.347,OpenAI API call timed out. This could be due to congestion or too small a timeout value. The timeout can be specified by setting the 'timeout' value (in seconds) in the llm_config (if you are using agents) or the OpenAIWrapper constructor (if you are using the OpenAIWrapper directly).
NOE_054,no_evidence_question,3,?,0.0,8,0,1,0,8,0,22.406,Connection error.
NOE_054,no_evidence_question,3,?,0.0,8,0,1,0,8,0,22.26,Connection error.
NOE_055,no_evidence_question,3,?,0.0,8,0,1,0,8,0,22.4,Connection error.
NOE_055,no_evidence_question,3,?,0.0,8,0,1,0,8,0,22.315,Connection error.
NOE_056,no_evidence_question,3,?,0.0,8,0,1,0,8,0,22.649,Connection error.
NOE_056,no_evidence_question,3,?,0.0,8,0,1,0,8,0,22.304,Connection error.
NOE_057,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,31.941,
NOE_057,no_evidence_question,3,?,0.3333333333333333,8,3,1,1,12,0,46.666,
NOE_058,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,38.318,
NOE_058,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,71.142,
NOE_059,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,40.547,
NOE_059,no_evidence_question,3,?,0.3333333333333333,8,3,1,1,22,1,36.372,
NOE_060,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,28.401,
NOE_060,no_evidence_question,3,?,0.0,8,0,1,0,9,0,28.531,
NOE_061,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,10,0,32.284,
NOE_061,no_evidence_question,3,?,0.0,8,4,1,1,16,1,54.935,
NOE_062,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,34.59,
NOE_062,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,45.426,
NOE_063,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,28.175,
NOE_063,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,48.683,
NOE_064,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,39.01,
NOE_064,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,72.567,
NOE_065,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,38.977,
NOE_065,no_evidence_question,3,?,0.3333333333333333,8,3,1,1,12,0,44.56,
NOE_066,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,37.878,
NOE_066,no_evidence_question,3,?,0.0,8,8,1,1,17,0,42.336,
NOE_067,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,37.039,
NOE_067,no_evidence_question,3,?,0.0,8,2,1,1,16,1,53.253,
NOE_068,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,10,0,50.511,
NOE_068,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,42.745,
NOE_069,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,35.038,
NOE_069,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,35.304,
NOE_070,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,28.112,
NOE_070,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,36.178,
NOE_071,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,32.712,
NOE_071,no_evidence_question,3,?,0.3333333333333333,8,6,1,1,28,1,61.439,
NOE_072,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,33.07,
NOE_072,no_evidence_question,3,?,0.0,8,0,1,0,9,0,34.571,
