test_id,test_category,difficulty,hallucination_risk,assertion_pass_rate,retrieved_memory_count,used_memory_count,retrieval_log_count,usage_log_count,graph_edge_count,verifier_log_count,elapsed_seconds,error
NOE_001,no_evidence_question,3,?,0.6666666666666666,8,0,1,0,9,0,39.363,
NOE_002,no_evidence_question,3,?,0.6666666666666666,8,0,1,0,9,0,27.357,
NOE_003,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,10,0,38.57,
NOE_004,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,20.732,
NOE_005,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,30.404,
NOE_006,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,25.895,
NOE_007,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,27.884,
NOE_008,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,31.01,
NOE_009,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,44.761,
NOE_010,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,28.254,
NOE_011,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,37.671,
NOE_012,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,41.68,
NOE_013,no_evidence_question,3,?,0.0,8,0,1,0,9,0,42.066,
NOE_014,no_evidence_question,3,?,0.6666666666666666,8,0,1,0,9,0,34.327,
NOE_015,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,38.935,
NOE_016,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,34.301,
NOE_017,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,45.818,
NOE_018,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,42.697,
NOE_019,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,33.821,
NOE_020,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,43.421,
NOE_021,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,36.867,
NOE_022,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,45.945,
NOE_023,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,30.524,
NOE_024,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,30.366,
NOE_025,no_evidence_question,3,?,0.6666666666666666,8,0,1,0,9,0,29.219,
NOE_026,no_evidence_question,3,?,0.6666666666666666,8,0,1,0,9,0,47.94,
NOE_027,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,38.504,
NOE_028,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,34.186,
NOE_029,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,41.565,
NOE_030,no_evidence_question,3,?,0.6666666666666666,8,0,1,0,9,0,37.882,
NOE_031,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,40.752,
NOE_032,no_evidence_question,3,?,0.6666666666666666,8,0,1,0,9,0,65.117,
NOE_033,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,52.482,
NOE_034,no_evidence_question,3,?,0.0,8,1,1,1,13,1,58.223,
NOE_035,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,73.784,
NOE_036,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,52.88,
NOE_037,no_evidence_question,3,?,0.6666666666666666,8,0,1,0,9,0,47.371,
NOE_038,no_evidence_question,3,?,0.6666666666666666,8,0,1,0,9,0,56.849,
NOE_039,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,49.21,
NOE_040,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,57.626,
NOE_041,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,60.025,
NOE_042,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,49.752,
NOE_043,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,56.546,
NOE_044,no_evidence_question,3,?,0.0,8,1,1,1,13,1,62.234,
NOE_045,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,57.724,
NOE_046,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,54.611,
NOE_047,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,64.585,
NOE_048,no_evidence_question,3,?,0.3333333333333333,8,2,1,1,13,0,62.103,
NOE_049,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,70.067,
NOE_049,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,56.769,
NOE_050,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,58.272,
NOE_050,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,55.125,
NOE_051,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,58.945,
NOE_051,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,49.988,
NOE_052,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,54.163,
NOE_052,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,80.417,
NOE_053,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,66.375,
NOE_053,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,70.126,
NOE_054,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,61.657,
