test_id,test_category,difficulty,hallucination_risk,assertion_pass_rate,retrieved_memory_count,used_memory_count,retrieval_log_count,usage_log_count,graph_edge_count,verifier_log_count,elapsed_seconds,error
NOE_001,no_evidence_question,3,?,0.3333333333333333,8,3,1,1,15,1,35.269,
NOE_002,no_evidence_question,3,?,0.6666666666666666,8,0,1,0,9,0,40.519,
NOE_003,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,54.128,
NOE_004,no_evidence_question,3,?,0.0,8,1,1,1,11,0,38.603,
NOE_005,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,29.618,
NOE_006,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,27.563,
NOE_007,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,34.656,
NOE_008,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,35.521,
NOE_009,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,30.735,
NOE_010,no_evidence_question,3,?,0.0,8,1,1,1,13,1,23.723,Error in __cdecl faiss::FileIOWriter::FileIOWriter(const char *) at D:\a\faiss-wheels\faiss-wheels\third-party\faiss\faiss\impl\io.cpp:104: Error: 'f' failed: could not open vector_db_bronze_peer\index.faiss for writing: Invalid argument
NOE_011,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,28.184,
NOE_012,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,24.73,
NOE_013,no_evidence_question,3,?,0.0,8,8,1,1,22,1,28.979,
NOE_014,no_evidence_question,3,?,0.6666666666666666,8,8,1,1,18,0,41.641,
NOE_015,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,27.226,
NOE_016,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,32.13,
NOE_017,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,27.763,
NOE_018,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,28.95,
NOE_019,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,34.607,
NOE_020,no_evidence_question,3,?,0.0,8,1,1,1,13,1,28.269,
NOE_021,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,26.073,
NOE_022,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,29.424,
NOE_023,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,25.657,
NOE_024,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,23.327,
NOE_025,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,22.688,
NOE_026,no_evidence_question,3,?,0.6666666666666666,8,1,1,1,13,1,30.722,
NOE_027,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,18.528,
NOE_028,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,22.928,
NOE_029,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,24.092,
NOE_030,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,28.25,
NOE_031,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,26.29,
NOE_032,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,29.246,
NOE_033,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,27.903,
NOE_034,no_evidence_question,3,?,0.0,8,1,1,1,11,0,25.806,
NOE_035,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,27.295,
NOE_036,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,25.559,
NOE_037,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,26.956,
NOE_038,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,27.368,
NOE_039,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,23.574,
NOE_040,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,21.451,
NOE_041,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,28.995,
NOE_042,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,24.713,
NOE_043,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,28.117,
NOE_044,no_evidence_question,3,?,0.0,8,3,1,1,19,1,39.31,
NOE_045,no_evidence_question,3,?,0.0,8,1,1,1,11,1,25.901,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
NOE_046,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,20.707,
NOE_047,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,35.068,
NOE_048,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,33.476,
NOE_049,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,38.828,
NOE_049,no_evidence_question,3,?,0.0,8,6,1,1,28,1,40.142,
NOE_050,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,28.414,
NOE_050,no_evidence_question,3,?,0.0,8,8,1,1,20,1,33.373,
NOE_051,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,28.339,
NOE_051,no_evidence_question,3,?,0.0,8,8,1,1,34,1,32.937,
NOE_052,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,32.315,
NOE_052,no_evidence_question,3,?,0.0,8,3,1,1,19,1,25.866,
NOE_053,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,32.294,
NOE_053,no_evidence_question,3,?,0.0,8,8,1,1,24,1,40.655,
NOE_054,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,36.065,
NOE_054,no_evidence_question,3,?,0.0,8,0,1,0,9,0,23.398,
NOE_055,no_evidence_question,3,?,0.3333333333333333,8,3,1,1,13,0,40.532,
NOE_055,no_evidence_question,3,?,0.0,8,3,1,1,17,1,41.414,
NOE_056,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,34.801,
NOE_056,no_evidence_question,3,?,0.3333333333333333,8,2,1,1,16,1,45.807,
NOE_057,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,30.601,
NOE_057,no_evidence_question,3,?,0.0,8,2,1,1,16,1,27.881,
NOE_058,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,23.078,
NOE_058,no_evidence_question,3,?,0.0,8,2,1,1,16,1,26.77,
