test_id,task,target_item_ids,source_row_count,baseline_valid,edited_valid,baseline_error,edited_error,baseline_turn_count,edited_turn_count,baseline_answer_length,edited_answer_length,edited_curated_turn_count,edited_curated_fact_count,baseline_write_edge_count,edited_write_edge_count,baseline_contradict_edge_count,edited_contradict_edge_count,baseline_repair_edge_count,edited_repair_edge_count,answer_delta,baseline_has_correction,baseline_has_repair_language,baseline_correct_fact_recovered,baseline_old_error_recurs_without_correction,baseline_repair_success,baseline_rev_score,edited_has_correction,edited_has_repair_language,edited_correct_fact_recovered,edited_old_error_recurs_without_correction,edited_repair_success,edited_rev_score,edited_curated_covered,edited_reduced_write_edges,edited_added_contradiction_edges,edited_added_repair_edges,edited_score_delta,edited_improved,edited_regressed
REV_001,REV,364934,7,True,True,,,7,7,4160,2544,0,0,10,13,1,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,False,False,False,0,False,False
REV_002,REV,364864,7,False,True,[Errno 22] Invalid argument: 'bronze_memory_peer.json',,6,7,3458,1518,0,0,7,40,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,False,False,False,0,False,False
REV_003,REV,363788,7,True,True,,,7,7,4623,2566,0,0,27,12,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_004,REV,363291,8,True,False,,[Errno 22] Invalid argument: 'bronze_memory_peer.json',8,1,3794,127,0,0,36,1,1,0,0,0,changed,True,True,True,False,True,2,False,False,True,True,False,-1,False,True,False,False,-3,False,True
REV_005,REV,363768,7,True,True,,,7,7,1661,1890,0,0,37,16,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_006,REV,363312,7,True,True,,,7,7,1588,2247,0,0,30,10,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_007,REV,363507,7,True,True,,,7,7,1181,2134,0,0,37,18,1,1,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_008,REV,363415,8,True,False,,Error in __cdecl faiss::FileIOWriter::FileIOWriter(const char *) at D:\a\faiss-wheels\faiss-wheels\third-party\faiss\faiss\impl\io.cpp:104: Error: 'f' failed: could not open vector_db_bronze_peer\index.faiss for writing: Invalid argument,8,7,3987,1215,0,0,23,16,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_009,REV,363532,7,True,False,,[Errno 22] Invalid argument: 'bronze_memory_peer.json',7,2,2005,756,0,0,25,5,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_010,REV,364507,7,True,True,,,7,7,1900,1834,0,0,22,27,0,1,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,False,True,False,0,False,False
REV_011,REV,363781,7,False,True,[Errno 22] Invalid argument: 'vector_db_bronze_peer\\id_to_text.pkl',,2,7,1644,3454,0,0,2,38,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,False,False,False,0,False,False
REV_012,REV,363264,8,True,True,,,8,8,3221,4023,6,42,27,24,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,True,True,False,False,0,False,False
REV_013,REV,363805,7,True,True,,,7,7,1904,1667,0,0,27,31,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,False,False,False,0,False,False
REV_014,REV,363633,7,True,True,,,7,7,2903,3066,0,0,20,19,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_015,REV,363826,7,True,True,,,7,7,1834,2648,0,0,21,19,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_016,REV,364724,8,True,True,,,8,8,5418,3206,0,0,23,38,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,False,False,False,0,False,False
REV_017,REV,364088,7,True,False,,OpenAI API call timed out. This could be due to congestion or too small a timeout value. The timeout can be specified by setting the 'timeout' value (in seconds) in the llm_config (if you are using agents) or the OpenAIWrapper constructor (if you are using the OpenAIWrapper directly).,7,4,5061,1189,0,0,37,13,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_018,REV,363439,7,True,False,,Connection error.,7,6,4929,2558,0,0,35,21,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_019,REV,363718,7,True,False,,[Errno 22] Invalid argument: 'bronze_memory_peer.json',7,6,1727,2586,0,0,27,10,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_020,REV,364634,8,False,True,Error in __cdecl faiss::FileIOWriter::FileIOWriter(const char *) at D:\a\faiss-wheels\faiss-wheels\third-party\faiss\faiss\impl\io.cpp:104: Error: 'f' failed: could not open vector_db_bronze_peer\index.faiss for writing: Invalid argument,,7,8,3055,1440,0,0,33,36,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,False,False,False,0,False,False
REV_021,REV,363418,7,True,True,,,7,7,2488,1303,0,0,43,39,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_022,REV,364416,7,True,True,,,7,7,3753,2436,0,0,42,25,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_023,REV,363836,7,True,True,,,7,7,1686,1282,0,0,53,30,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_024,REV,364951,8,True,False,,[Errno 22] Invalid argument: 'bronze_memory_peer.json',8,3,1552,1149,0,0,60,7,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_025,REV,363999,7,False,False,[Errno 22] Invalid argument: 'bronze_memory_peer.json',Connection error.,6,4,1129,1353,0,0,41,12,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
