test_id,test_category,difficulty,hallucination_risk,assertion_pass_rate,retrieved_memory_count,used_memory_count,retrieval_log_count,usage_log_count,graph_edge_count,verifier_log_count,elapsed_seconds,error
REP_001,repetition_reinforcement_induction,4,??,0.5,26,3,6,3,70,3,201.12,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
REP_002,repetition_reinforcement_induction,4,??,0.0,8,0,1,0,8,0,29.789,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
REP_003,repetition_reinforcement_induction,4,??,0.5,22,3,6,4,68,2,301.232,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
REP_004,repetition_reinforcement_induction,4,??,0.5,27,6,6,4,73,3,290.986,
REP_005,repetition_reinforcement_induction,4,??,0.5,24,2,6,3,67,2,334.95,
REP_006,repetition_reinforcement_induction,4,??,0.5,17,6,7,7,125,6,384.612,
REP_007,repetition_reinforcement_induction,4,??,0.5,15,4,6,5,86,5,273.72,
REP_008,repetition_reinforcement_induction,4,??,0.5,16,6,6,6,94,5,192.023,
REP_009,repetition_reinforcement_induction,4,??,0.5,11,4,7,6,100,6,234.723,
REP_010,repetition_reinforcement_induction,4,??,0.5,15,4,6,5,80,3,197.527,
REP_011,repetition_reinforcement_induction,4,??,0.5,14,4,6,6,93,5,186.881,
REP_012,repetition_reinforcement_induction,4,??,0.0,17,6,5,5,71,4,211.465,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
REP_013,repetition_reinforcement_induction,4,??,0.5,22,3,6,5,78,2,221.974,
REP_014,repetition_reinforcement_induction,4,??,0.5,14,4,6,2,67,2,252.43,
REP_015,repetition_reinforcement_induction,4,??,0.5,21,6,7,7,109,7,307.08,
REP_016,repetition_reinforcement_induction,4,??,0.5,18,4,6,6,81,4,215.409,
REP_017,repetition_reinforcement_induction,4,??,0.5,15,4,6,5,95,5,247.305,
REP_018,repetition_reinforcement_induction,4,??,0.5,18,5,7,4,86,3,251.109,
REP_019,repetition_reinforcement_induction,4,??,0.5,16,4,6,5,80,4,237.891,
REP_020,repetition_reinforcement_induction,4,??,0.5,14,4,6,6,77,4,201.343,
REP_021,repetition_reinforcement_induction,4,??,0.5,22,5,7,7,97,4,230.716,
REP_022,repetition_reinforcement_induction,4,??,0.5,16,4,6,5,84,4,208.53,
REP_023,repetition_reinforcement_induction,4,??,0.0,21,3,6,6,78,4,212.185,
REP_024,repetition_reinforcement_induction,4,??,0.5,17,5,7,7,110,5,237.021,
REP_025,repetition_reinforcement_induction,4,??,0.5,16,2,6,4,71,4,200.532,
REP_026,repetition_reinforcement_induction,4,??,0.5,18,4,6,4,85,4,218.22,
REP_027,repetition_reinforcement_induction,4,??,0.5,19,1,7,6,85,5,238.354,
REP_028,repetition_reinforcement_induction,4,??,0.5,15,4,6,5,92,4,232.618,
REP_029,repetition_reinforcement_induction,4,??,0.0,19,3,6,4,77,3,193.295,
REP_030,repetition_reinforcement_induction,4,??,0.5,18,3,7,5,91,3,224.855,
REP_031,repetition_reinforcement_induction,4,??,0.5,20,3,6,5,75,2,217.412,
REP_032,repetition_reinforcement_induction,4,??,0.5,18,11,6,6,90,3,250.443,
REP_033,repetition_reinforcement_induction,4,??,0.0,21,3,7,6,94,4,407.508,
REP_034,repetition_reinforcement_induction,4,??,0.5,21,3,6,6,85,5,227.417,
REP_035,repetition_reinforcement_induction,4,??,0.5,15,1,6,3,62,1,187.596,
REP_036,repetition_reinforcement_induction,4,??,0.5,17,3,7,5,87,4,221.472,
REP_037,repetition_reinforcement_induction,4,??,0.5,16,4,6,5,77,3,202.62,
REP_038,repetition_reinforcement_induction,4,??,0.0,17,2,6,4,69,2,189.686,
REP_039,repetition_reinforcement_induction,4,??,0.0,20,1,7,7,78,1,194.998,
REP_040,repetition_reinforcement_induction,4,??,0.5,16,6,6,4,88,4,242.928,
REP_041,repetition_reinforcement_induction,4,??,0.5,19,2,6,5,80,5,220.993,
REP_042,repetition_reinforcement_induction,4,??,0.5,24,1,7,6,75,0,246.028,
REP_043,repetition_reinforcement_induction,4,??,0.5,22,1,6,3,62,1,212.445,
REP_044,repetition_reinforcement_induction,4,??,0.5,15,1,6,1,58,1,192.37,
REP_045,repetition_reinforcement_induction,4,??,0.5,16,6,7,3,87,3,303.487,
REP_046,repetition_reinforcement_induction,4,??,0.5,19,9,6,5,79,3,276.737,
REP_047,repetition_reinforcement_induction,4,??,0.5,21,1,6,2,60,1,255.154,
REP_048,repetition_reinforcement_induction,4,??,0.5,22,6,7,7,120,5,328.366,
