test_id,test_category,difficulty,hallucination_risk,assertion_pass_rate,retrieved_memory_count,used_memory_count,retrieval_log_count,usage_log_count,graph_edge_count,verifier_log_count,elapsed_seconds,error
MIS_001,similar_entity_confusion,4,?,0.6666666666666666,17,2,3,2,31,0,106.733,
MIS_002,similar_entity_confusion,4,?,0.75,19,2,3,2,30,0,109.716,
MIS_003,similar_entity_confusion,4,?,0.75,22,4,4,3,49,2,150.5,
MIS_004,similar_entity_confusion,4,?,0.3333333333333333,17,2,3,1,31,0,91.231,
MIS_005,similar_entity_confusion,4,?,0.6666666666666666,18,2,3,2,31,0,125.91,
MIS_006,similar_entity_confusion,4,?,0.75,20,3,3,3,39,2,74.16,
MIS_007,similar_entity_confusion,4,?,0.6666666666666666,25,0,4,0,36,0,111.268,
MIS_008,similar_entity_confusion,4,?,0.5,19,3,3,2,33,0,95.522,
MIS_009,similar_entity_confusion,4,?,0.75,22,1,3,1,29,0,84.995,
MIS_010,similar_entity_confusion,4,?,0.6666666666666666,19,2,3,3,38,1,82.865,
MIS_011,similar_entity_confusion,4,?,0.5,16,0,2,0,17,0,65.67,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
MIS_012,similar_entity_confusion,4,?,0.6666666666666666,15,3,3,2,39,2,98.95,
MIS_013,similar_entity_confusion,4,?,0.6666666666666666,18,1,3,1,29,0,90.096,
MIS_014,similar_entity_confusion,4,?,0.3333333333333333,18,3,3,3,39,2,91.327,
MIS_015,similar_entity_confusion,4,?,0.25,19,5,4,4,58,1,112.106,
MIS_016,similar_entity_confusion,4,?,0.5,17,2,3,2,31,0,87.547,
MIS_017,similar_entity_confusion,4,?,0.75,19,2,3,2,31,0,105.401,
MIS_018,similar_entity_confusion,4,?,0.3333333333333333,17,8,3,1,40,1,107.766,
MIS_019,similar_entity_confusion,4,?,0.25,18,4,4,2,51,2,112.121,
MIS_020,similar_entity_confusion,4,?,0.3333333333333333,17,3,3,3,35,0,84.016,
MIS_021,similar_entity_confusion,4,?,0.5,18,2,3,2,31,0,120.469,
MIS_022,similar_entity_confusion,4,?,0.5,16,3,3,3,41,2,101.042,
MIS_023,similar_entity_confusion,4,?,0.3333333333333333,18,4,4,3,51,2,133.353,
MIS_024,similar_entity_confusion,4,?,0.6666666666666666,17,4,3,3,38,1,111.831,
MIS_025,similar_entity_confusion,4,?,0.6666666666666666,17,7,3,2,44,2,136.406,
MIS_026,similar_entity_confusion,4,?,0.5,17,2,3,2,31,0,136.055,
MIS_027,similar_entity_confusion,4,?,0.75,17,3,4,2,41,0,142.987,
MIS_028,similar_entity_confusion,4,?,0.75,16,4,3,2,36,1,109.711,
MIS_029,similar_entity_confusion,4,?,0.6666666666666666,14,2,3,2,31,0,84.71,
MIS_030,similar_entity_confusion,4,?,0.25,17,2,3,3,37,1,84.666,
MIS_031,similar_entity_confusion,4,?,0.25,18,5,4,3,61,1,109.752,
MIS_032,similar_entity_confusion,4,?,0.25,16,1,3,2,33,1,89.682,
MIS_033,similar_entity_confusion,4,?,0.3333333333333333,17,5,3,2,40,2,110.992,
MIS_034,similar_entity_confusion,4,?,0.75,17,2,3,2,32,0,121.452,
MIS_035,similar_entity_confusion,4,?,0.6666666666666666,19,12,4,4,66,3,131.577,
MIS_036,similar_entity_confusion,4,?,0.75,16,5,3,2,44,2,98.752,
MIS_037,similar_entity_confusion,4,?,0.5,16,2,3,2,33,1,106.879,
MIS_038,similar_entity_confusion,4,?,0.6666666666666666,17,8,3,3,45,2,117.131,
MIS_039,similar_entity_confusion,4,?,0.25,16,5,4,2,49,0,93.333,
MIS_040,similar_entity_confusion,4,?,0.6666666666666666,16,2,3,1,34,1,112.117,
MIS_041,similar_entity_confusion,4,?,0.6666666666666666,18,1,3,1,29,0,83.781,
MIS_042,similar_entity_confusion,4,?,0.75,18,2,3,2,32,0,81.592,
MIS_043,similar_entity_confusion,4,?,0.6666666666666666,18,4,4,2,46,1,125.587,
MIS_044,similar_entity_confusion,4,?,0.25,17,2,3,1,31,0,97.507,
MIS_045,similar_entity_confusion,4,?,0.3333333333333333,14,2,3,1,33,1,92.233,
MIS_046,similar_entity_confusion,4,?,0.3333333333333333,18,2,3,3,37,1,91.188,
MIS_047,similar_entity_confusion,4,?,0.75,18,5,4,2,47,1,118.566,
MIS_048,similar_entity_confusion,4,?,0.25,17,6,3,3,54,2,86.873,
MIS_049,similar_entity_confusion,4,?,0.25,16,4,3,3,36,1,120.574,
MIS_050,similar_entity_confusion,4,?,0.5,17,1,3,1,29,0,106.122,
MIS_051,similar_entity_confusion,4,?,0.0,16,5,4,3,57,0,112.599,
MIS_052,similar_entity_confusion,4,?,0.25,18,3,3,2,44,2,84.738,
MIS_053,similar_entity_confusion,4,?,0.25,16,5,3,3,43,2,92.499,
MIS_054,similar_entity_confusion,4,?,0.5,17,2,3,3,40,2,183.381,
MIS_055,similar_entity_confusion,4,?,0.25,16,4,4,2,56,2,126.745,
MIS_056,similar_entity_confusion,4,?,0.25,18,11,3,3,46,0,96.773,
MIS_057,similar_entity_confusion,4,?,0.75,17,2,3,2,31,0,82.085,
MIS_058,similar_entity_confusion,4,?,0.5,18,2,3,1,34,1,105.159,
MIS_059,similar_entity_confusion,4,?,0.0,18,10,4,4,71,2,134.983,
MIS_060,similar_entity_confusion,4,?,0.25,17,10,3,3,65,2,100.827,
MIS_061,similar_entity_confusion,4,?,0.25,17,6,3,3,38,1,107.09,
MIS_062,similar_entity_confusion,4,?,0.25,18,1,3,1,30,0,115.573,
MIS_063,similar_entity_confusion,4,?,0.25,19,9,4,4,73,3,119.727,
MIS_064,similar_entity_confusion,4,?,0.25,18,11,3,3,60,1,96.074,
MIS_065,similar_entity_confusion,4,?,0.5,21,3,3,3,32,0,80.429,
MIS_066,similar_entity_confusion,4,?,0.25,18,9,3,2,46,1,107.668,
MIS_067,similar_entity_confusion,4,?,0.25,21,11,4,4,81,3,128.738,
MIS_068,similar_entity_confusion,4,?,0.25,18,5,3,2,50,2,97.813,
MIS_069,similar_entity_confusion,4,?,0.25,17,7,3,2,46,1,110.315,
MIS_070,similar_entity_confusion,4,?,0.5,20,6,3,3,48,1,114.815,
