test_id,test_category,difficulty,hallucination_risk,assertion_pass_rate,retrieved_memory_count,used_memory_count,retrieval_log_count,usage_log_count,graph_edge_count,verifier_log_count,elapsed_seconds,error
NOE_001,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,38.899,
NOE_002,no_evidence_question,3,?,0.6666666666666666,8,3,1,1,19,1,41.003,
NOE_003,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,36.9,
NOE_004,no_evidence_question,3,?,0.0,8,0,1,0,9,0,34.464,
NOE_005,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,34.504,
NOE_006,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,10,0,37.275,
NOE_007,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,39.966,
NOE_008,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,35.271,
NOE_009,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,43.671,
NOE_010,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,45.912,
NOE_011,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,43.691,
NOE_012,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,44.463,
NOE_013,no_evidence_question,3,?,0.0,8,0,1,0,9,0,41.739,
NOE_014,no_evidence_question,3,?,0.6666666666666666,8,1,1,1,13,1,58.678,
NOE_015,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,33.935,
NOE_016,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,38.233,
NOE_017,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,40.354,
NOE_018,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,39.851,
NOE_019,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,10,0,34.984,
NOE_020,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,36.062,
NOE_021,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,37.836,
NOE_022,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,35.761,
NOE_023,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,42.818,
NOE_024,no_evidence_question,3,?,0.3333333333333333,8,2,1,1,13,0,45.047,
NOE_025,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,44.935,
NOE_026,no_evidence_question,3,?,0.6666666666666666,8,0,1,0,9,0,35.867,
NOE_027,no_evidence_question,3,?,0.3333333333333333,8,3,1,1,13,0,41.283,
NOE_028,no_evidence_question,3,?,0.3333333333333333,8,2,1,1,16,1,37.631,
NOE_029,no_evidence_question,3,?,0.3333333333333333,8,2,1,1,14,1,41.34,
NOE_030,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,45.511,
NOE_031,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,13,1,42.31,
NOE_032,no_evidence_question,3,?,0.6666666666666666,8,0,1,0,9,0,40.494,
NOE_033,no_evidence_question,3,?,0.3333333333333333,8,1,1,1,11,0,45.149,
NOE_034,no_evidence_question,3,?,0.0,8,0,1,0,9,0,41.325,
NOE_035,no_evidence_question,3,?,0.3333333333333333,8,0,1,0,9,0,40.048,
