test_id,false_premise_type,target_item_id,false_premise,correct_fact,answer_delta,baseline_valid,baseline_error,baseline_answer_length,baseline_has_correction,baseline_has_correct_fact,baseline_mentions_wrong_value,baseline_possible_false_acceptance,baseline_retrieved_memory_count,baseline_used_memory_count,baseline_curated_fact_count,baseline_curated_covered,edited_valid,edited_error,edited_answer_length,edited_has_correction,edited_has_correct_fact,edited_mentions_wrong_value,edited_possible_false_acceptance,edited_retrieved_memory_count,edited_used_memory_count,edited_curated_fact_count,edited_curated_covered,edited_added_correction,edited_lost_correction,edited_added_correct_fact,edited_lost_correct_fact
FPI_001,wrong_period,363483,《乳钉雷纹簋》（ID 363483）属于西周中期。,知识库记载《乳钉雷纹簋》（ID 363483）为商代中期饭食器。,changed,True,,570,True,True,True,False,8,0,0,False,True,,715,True,True,True,False,8,0,0,False,False,False,False,False
FPI_002,wrong_period,363414,《邾伯鬲》（ID 363414）属于商代晚期。,知识库记载《邾伯鬲》（ID 363414）为西周晚期肉食器。,changed,True,,144,True,True,True,False,8,1,0,False,True,,671,True,True,True,False,8,0,0,False,False,False,False,False
FPI_003,wrong_period,363705,《㠱伯𫳙父􀊈》（ID 363705）属于西周中期。,知识库记载《㠱伯𫳙父􀊈》（ID 363705）为春秋早期饭食器。,changed,True,,191,True,False,True,False,8,1,0,False,True,,583,True,True,True,False,8,1,0,False,False,False,True,False
FPI_004,wrong_period,364522,《成钟》（ID 364522）属于战国中期。,知识库记载《成钟》（ID 364522）为西周晚期乐器。,changed,True,,664,True,True,True,False,8,1,0,False,True,,822,True,True,True,False,8,0,0,False,False,False,False,False
FPI_005,wrong_period,364369,《蔡侯朱缶》（ID 364369）属于商代早期。,知识库记载《蔡侯朱缶》（ID 364369）为春秋晚期盛水器，亦可作盛酒器。,changed,True,,498,True,True,True,False,8,1,0,False,True,,887,True,True,True,False,8,0,5,True,False,False,False,False
FPI_006,wrong_period,363266,《􀂸方鼎》（ID 363266）属于唐代。,知识库记载《􀂸方鼎》（ID 363266）为西周中期肉食器。,changed,True,,463,True,False,True,False,8,2,0,False,True,,1092,True,True,True,False,8,0,7,True,False,False,True,False
FPI_007,wrong_period,363623,《伯簋》（ID 363623）属于春秋中期。,知识库记载《伯簋》（ID 363623）为西周中期饭食器。,changed,True,,761,True,True,True,False,8,0,0,False,True,,960,True,True,True,False,8,0,0,False,False,False,False,False
FPI_008,wrong_period,363536,《宜侯夨簋》（ID 363536）属于汉代。,知识库记载《宜侯夨簋》（ID 363536）为西周早期饭食器。,changed,True,,645,True,True,True,False,8,0,0,False,True,,115,False,True,True,True,8,1,0,False,False,True,False,False
FPI_009,wrong_period,364018,《􀆦伯獏尊》（ID 364018）属于西周晚期。,知识库记载《􀆦伯獏尊》（ID 364018）为西周中期盛酒器。,changed,True,,451,True,True,True,False,8,1,0,False,True,,1018,True,False,True,False,8,0,0,False,False,False,False,True
FPI_010,wrong_period,363638,《休簋》（ID 363638）属于商代早期。,知识库记载《休簋》（ID 363638）为西周晚期饭食器。原名叔氏簋。,changed,True,,517,True,True,True,False,8,1,0,False,True,,1086,True,True,True,False,8,0,0,False,False,False,False,False
FPI_011,wrong_location,364947,《镶嵌变形兽面纹牌饰》（ID 364947）出土于河南安阳。,知识库记载的出土信息为：河南偃师二里头出土。,changed,True,,519,True,False,False,False,8,1,0,False,True,,985,True,False,False,False,8,0,0,False,False,False,False,False
FPI_012,wrong_location,363241,《外叔鼎》（ID 363241）出土于山东梁山。,知识库记载的出土信息为：陕西岐山青化镇丁童家村出土。,changed,True,,254,True,False,False,False,8,2,0,False,True,,587,True,False,False,False,8,4,3,True,False,False,False,False
FPI_013,wrong_location,363796,《龙纹匕》（ID 363796）出土于江西新干。,知识库记载的出土信息为：陕西长安（今西安市长安区）张家坡出土。,changed,True,,385,True,True,False,False,8,0,0,False,True,,1139,True,True,False,False,8,0,0,False,False,False,False,False
FPI_014,wrong_location,364013,《盠驹尊》（ID 364013）出土于湖南宁乡。,知识库记载的出土信息为：陕西眉县李村出土。,changed,True,,604,True,True,False,False,8,0,0,False,True,,1196,True,False,False,False,8,1,0,False,False,False,False,True
FPI_015,wrong_location,363206,《温鼎》（ID 363206）出土于陕西宝鸡。,知识库记载的出土信息为：河南安阳武官北地出土。,changed,True,,238,True,False,False,False,8,1,0,False,True,,1280,True,False,False,False,8,0,10,True,False,False,False,False
FPI_016,wrong_location,363247,《子申鼎》（ID 363247）出土于湖南宁乡。,知识库记载的出土信息为：河南伊川出土。,changed,True,,670,True,False,False,False,8,0,0,False,True,,1250,True,False,False,False,8,0,9,True,False,False,False,False
FPI_017,wrong_location,363162,《雷纹扁足鼎》（ID 363162）出土于江西新干。,知识库记载的出土信息为：河南郑州向阳回族食品厂出土。,changed,True,,729,True,False,False,False,8,1,0,False,True,,809,True,False,False,False,8,2,0,False,False,False,False,False
FPI_018,wrong_location,364337,《㠱侯亚𠤕盉》（ID 364337）出土于山西曲沃。,知识库记载的出土信息为：传1897年北京卢沟桥附近出土。,changed,True,,638,True,False,False,False,8,0,0,False,True,,1443,True,False,False,False,8,0,0,False,False,False,False,False
FPI_019,wrong_location,364552,《郘􀑮钟》（ID 364552）出土于辽宁喀喇沁左翼蒙古族自治县。,知识库记载的出土信息为：19世纪下半叶山西万荣后土祠村出土。,changed,True,,795,True,False,False,False,8,1,0,False,True,,1420,True,False,False,False,8,0,0,False,False,False,False,False
FPI_020,wrong_location,363681,《𰣫􀊈》（ID 363681）出土于江西新干。,知识库记载的出土信息为：陕西扶风庄白村出土。,changed,True,,865,True,False,False,False,8,1,0,False,True,,199,True,False,False,False,8,2,0,False,False,False,False,False
FPI_021,wrong_collection,363524,《􀉕簋》（ID 363524）现藏于中国社会科学院考古研究所。,知识库记载的馆藏信息为：藏陕西省历史博物馆。,changed,True,,1008,True,True,False,False,8,0,0,False,True,,734,True,False,False,False,8,0,0,False,False,False,False,True
FPI_022,wrong_collection,364189,《戉箙卣》（ID 364189）现藏于河南博物院。,知识库记载的馆藏信息为：藏上海博物馆。,changed,True,,1066,True,True,False,False,8,0,0,False,True,,619,True,False,False,False,8,1,0,False,False,False,False,True
